Time,RAW_U,RAW_V,RAW_W
0.01,0.3268,-0.0098,0.0193
0.02,0.289,-0.0357,0.0053
0.03,0.8028,0.0126,-0.1236
0.04,0.3387,0.016,0.0077
0.05,0.3212,0.0271,0.0094
0.06,-0.141,0.0281,0.1368
0.07,0.3437,0.007,0.0138
0.08,0.34265,-0.00045,0.0067
0.09,0.3416,-0.0079,-0.0004
0.1,0.3608,-0.0542,-0.0075
0.11,0.3265,-0.0232,-0.013
0.12,0.3806,-0.0393,-0.0204
0.13,0.3267,-0.0482,-0.0037
0.14,0.3807,-0.0337,-0.0029
0.15,0.3738,-0.0487,0.0003
0.16,0.3829,-0.015,0.0019
0.17,0.3928,-0.0288,0.0098
0.18,0.3867,-0.0524,0.004
0.19,0.3892,-0.0262,-0.0215
0.2,0.37,-0.0329,-0.0411
0.21,0.3532,0.0134,-0.0339
0.22,0.3167,-0.0326,-0.0275
0.23,0.3313,-0.0167,-0.0181
0.24,0.2913,-0.0551,-0.0161
0.25,0.3354,-0.0388,-0.0129
0.26,0.34,-0.0207,-0.0156
0.27,0.3127,-0.0314,-0.0119
0.28,0.3569,-0.0419,-0.0144
0.29,0.3145,-0.0615,-0.0089
0.3,0.346,-0.0255,-0.0058
0.31,0.3361,-0.0366,0.0032
0.32,0.349,-0.0638,0.0063
0.33,0.3579,-0.0276,-0.012
0.34,0.3327,-0.0094,0.0083
0.35,0.3069,-0.0115,0.0182
0.36,0.3142,-0.0541,0.0123
0.37,0.3284,-0.0446,0.0162
0.38,0.2859,-0.042,0.0222
0.39,0.2859,0.0054,0.0192
0.4,0.3013,0.0153,0.014
0.41,0.3262,0.0021,0.0072
0.42,0.2838,-0.0259,0.0011
0.43,0.3072,-0.0119,0.006
0.44,0.29,0.0063,0.0066
0.45,0.327,0.0224,0.0146
0.46,0.3021,-0.0023,0.0192
0.47,0.3474,0.0078,0.0186
0.48,0.39,0.0725,0.0078
0.49,0.3438,0.068,0.001
0.5,0.4161,0.0134,-0.0168
0.51,0.3093,0.067,-0.0207
0.52,0.463,0.0638,-0.0236
0.53,0.3736,0.0169,-0.0558
0.54,0.3617,0.0163,-0.0438
0.55,0.3565,0.0145,-0.0148
0.56,0.3453,-0.0245,0.0269
0.57,0.4353,0.0861,0.0133
0.58,0.3855,0.0946,0.0169
0.59,0.3122,0.0491,0.0143
0.6,0.3176,0.0469,0.0479
0.61,0.3786,0.0418,0.0299
0.62,0.368,-0.0115,0.0102
0.63,0.396,0.0206,0.0069
0.64,0.4232,0.0218,0.0149
0.65,0.3651,0.0141,0.0056
0.66,0.3887,0.0102,0.0104
0.67,0.3579,0.001,0.0127
0.68,0.3647,0.0137,0.0113
0.69,0.3817,0.0198,0.0126
0.7,0.4124,0.0247,0.0013
0.71,0.4114,0.0065,-0.0116
0.72,0.3674,-0.0036,-0.0123
0.73,0.3976,0.0326,-0.0311
0.74,0.341,0.0045,-0.0173
0.75,0.39,0.0177,-0.0128
0.76,0.3967,0.0069,-0.0163
0.77,0.3564,-0.0482,-0.0231
0.78,0.3254,0.0024,-0.0014
0.79,0.4053,0.0125,0.0104
0.8,0.3887,0.0177,0.0081
0.81,0.3771,-0.029,0.0013
0.82,0.344,-0.0121,0.0086
0.83,0.3706,0.03,0.0083
0.84,0.3845,-0.0383,-0.0037
